Número documento GEDO;Dependencia receptora;Orden de compra;N° Contratación / Licitación;Resolución Aprobatoria;Expediente;Entidad Proveedora;Cuit Proveedor;Remito n°;Fecha de remito;Fecha de recepción;Renglon;Cantidad;Detalle;Unidad;Observaciones
ACTA-2021-104425241-APN-DIA#MS;Dirección de Innovación Administrativa;80-0000-OC21;80-0000-LPU21;RS-xxx-xxx;EX-2021-92259346-APN-DD#MS;proveedor;27320692267;657423453;06/10/2021;28/10/2021;1;50;unidade del producto x;unidad;lote xx, pertenece a la primera entrega, dentro del plazo
ACTA-2021-104425241-APN-DIA#MS;Dirección de Innovación Administrativa;80-0000-OC21;80-0000-LPU21;RS-xxx-xxx;EX-2021-92259346-APN-DD#MS;proveedor;27320692267;657423453;06/10/2021;28/10/2021;2;60;unidades del segundo renglon;unidad;lote xx, pertenece a la primera entrega, dentro del plazo
ACTA-2021-111610402-APN-SGA#MS;Dirección de Coberturas de Medicamentos Especiales y de Alto Precio;80-1098-OC20;Licitación Pública N° 80-0017-LPU19;RESOL-2020-1429-APN-MS;EX-2019-58228145-APN-DCYCMS#MSYDS;SHIRE HUMAN GENETIC THERAPIES SA;30708282150;1,032E+11;;16/10/2020;2;26000;"Nombre genérico: Factor VIII de coagulación recombinante por 1.000 Unidades Internacionales, con polvo liofilizado y disolvente para solución inyectable; Nombre comercial: ADVATE.";U.I.;PARCIAL - DENTRO
ACTA-2021-112095435-APN-SGA#MS;Dirección Nacional de Medicamentos y Tecnología Sanitaria;NO_2021_106676116_APN_DGA#MS;-;-;EX-2021-100927272-APN-DD#MS;PFIZER S.R.L.;30503518518;2600225880;;09/11/2021;1;2;PALBOCICLIB 125 MG. (IBRANCE). PRES. ENVASE x 21 UNIDADES C/U.;ENVASES;LUGAR DE ENTREGA: COORDINACIÓN BANCO DE DROGAS
ACTA-2021-116400367-APN-SGA#MS;Subsecretaría de Medicamentos e Información Estratégica;NO-2021-43800386-APN-DGA#MS;-;-;EX-2021-36935421-APN-DD#MS;CIRUGÍA ALEMANA – INSUMOS MEDICOS S.A.;30709247650;1800110563;;07/09/2021;1;1;SISTEMA DE FIJACIÓN TRANSPEDICULAR PARA 3 (TRES) NIVELES DE TITANIO IMPORTADO CON OPCIÓN A GANCHOS, PUENTES TRANSVERSALES MULTIAXIALES Y ANCLAJES ILIACOS BILATERAL BARRAS DE 6.0 MM CON EXTENSIÓN A NIVEL DINÁMICO ADICIONAL. ;UNIDAD;"NOTA ACLARATORIA DGA: NO-2021-101844912-APN-DGA#MS; CONFORMIDAD AREA REQUIRENTE: PV- 2021-105819477-APN-SSMEIE#MS; LUGAR DE ENTREGA: HOSPITAL DE CLINICAS JOSE DE SAN MARTIN"
ACTA-2021-116400367-APN-SGA#MS;Subsecretaría de Medicamentos e Información Estratégica;NO-2021-43800386-APN-DGA#MS;-;-;EX-2021-36935421-APN-DD#MS;CIRUGÍA ALEMANA – INSUMOS MEDICOS S.A.;30709247650;1800110563;;07/09/2021;2;2;PLIF DE PEEK EXPANSIBLES;UNIDAD;"CONFORMIDAD AREA REQUIRENTE: PV- 2021-105819477-APN-SSMEIE#MS; LUGAR DE ENTREGA: HOSPITAL DE CLINICAS JOSE DE SAN MARTIN"
ACTA-2021-116400367-APN-SGA#MS;Subsecretaría de Medicamentos e Información Estratégica;NO-2021-43800386-APN-DGA#MS;-;-;EX-2021-36935421-APN-DD#MS;CIRUGÍA ALEMANA – INSUMOS MEDICOS S.A.;30709247650;1800110563;;07/09/2021;3;1;DRILL DE ALTAS REVOLUCIONES ELÉCTRICO;UNIDAD;"CONFORMIDAD AREA REQUIRENTE: PV- 2021-105819477-APN-SSMEIE#MS; LUGAR DE ENTREGA: HOSPITAL DE CLINICAS JOSE DE SAN MARTIN"
ACTA-2021-116400367-APN-SGA#MS;Subsecretaría de Medicamentos e Información Estratégica;NO-2021-43800386-APN-DGA#MS;-;-;EX-2021-36935421-APN-DD#MS;CIRUGÍA ALEMANA – INSUMOS MEDICOS S.A.;30709247650;1800110563;;07/09/2021;4;2;DOSIS DE SUSTITUTO ÓSEO;UNIDAD;"CONFORMIDAD AREA REQUIRENTE: PV- 2021-105819477-APN-SSMEIE#MS; LUGAR DE ENTREGA: HOSPITAL DE CLINICAS JOSE DE SAN MARTIN"
ACTA-2021-116400367-APN-SGA#MS;Subsecretaría de Medicamentos e Información Estratégica;NO-2021-43800386-APN-DGA#MS;-;-;EX-2021-36935421-APN-DD#MS;CIRUGÍA ALEMANA – INSUMOS MEDICOS S.A.;30709247650;1800110563;;07/09/2021;5;1;DOSIS DE MATRIZ OSTEOCONDUCTORA;UNIDAD;"CONFORMIDAD AREA REQUIRENTE: PV- 2021-105819477-APN-SSMEIE#MS; LUGAR DE ENTREGA: HOSPITAL DE CLINICAS JOSE DE SAN MARTIN"
ACTA-2021-116400367-APN-SGA#MS;Subsecretaría de Medicamentos e Información Estratégica;NO-2021-43800386-APN-DGA#MS;-;-;EX-2021-36935421-APN-DD#MS;CIRUGÍA ALEMANA – INSUMOS MEDICOS S.A.;30709247650;1800110563;;07/09/2021;6;1;ASISTENCIA TÉCNICA;UNIDAD;"CONFORMIDAD AREA REQUIRENTE: PV- 2021-105819477-APN-SSMEIE#MS; LUGAR DE ENTREGA: HOSPITAL DE CLINICAS JOSE DE SAN MARTIN"
